date,stage,match,selection,decimal_odds,market_probability,model_probability,value_gap,signal,risk_label,confidence_score,kelly_stake_pct,bankroll_note,quality_label
2026-06-17,FIFA World Cup,Argentina vs Algeria,Argentina,1.4,0.7143,0.5835,-0.1308,NO BET,LOW RISK,0.4528,0.0,No bet suggested.,NO_BET
2026-06-16,FIFA World Cup,Iran vs New Zealand,Iran,1.88,0.5319,0.4888,-0.0431,NO BET,LOW RISK,0.4457,0.0,No bet suggested.,NO_BET
2026-06-20,FIFA World Cup,Netherlands vs Sweden,Netherlands,1.64,0.6098,0.5221,-0.0876,NO BET,LOW RISK,0.4345,0.0,No bet suggested.,NO_BET
2026-06-22,FIFA World Cup,Argentina vs Austria,Argentina,1.63,0.6135,0.5221,-0.0914,NO BET,LOW RISK,0.4307,0.0,No bet suggested.,NO_BET
2026-06-24,FIFA World Cup,Morocco vs Haiti,Morocco,1.33,0.7519,0.5906,-0.1612,NO BET,LOW RISK,0.4294,0.0,No bet suggested.,NO_BET
2026-06-23,FIFA World Cup,Panama vs Croatia,Croatia,1.54,0.6494,0.5382,-0.1112,NO BET,LOW RISK,0.427,0.0,No bet suggested.,NO_BET
2026-06-21,FIFA World Cup,Tunisia vs Japan,Japan,1.71,0.5848,0.5057,-0.0791,NO BET,LOW RISK,0.4265,0.0,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,Cape Verde vs Saudi Arabia,Saudi Arabia,2.75,0.3636,0.4098,0.0461,NO BET,MEDIUM RISK,0.4259,0.0181,No bet suggested.,NO_BET
2026-06-25,FIFA World Cup,South Africa vs South Korea,South Korea,1.99,0.5025,0.463,-0.0396,NO BET,LOW RISK,0.4234,0.0,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,Panama vs England,England,1.29,0.7752,0.5976,-0.1776,NO BET,LOW RISK,0.4201,0.0,No bet suggested.,NO_BET
2026-06-22,FIFA World Cup,New Zealand vs Egypt,Egypt,1.73,0.578,0.4973,-0.0808,NO BET,LOW RISK,0.4165,0.0,No bet suggested.,NO_BET
2026-06-15,FIFA World Cup,Saudi Arabia vs Uruguay,Uruguay,1.43,0.6993,0.5538,-0.1455,NO BET,LOW RISK,0.4083,0.0,No bet suggested.,NO_BET
2026-06-12,FIFA World Cup,South Korea vs Czech Republic,Czech Republic,2.84,0.3521,0.3919,0.0397,NO BET,MEDIUM RISK,0.4016,0.0153,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,New Zealand vs Belgium,Belgium,1.28,0.7812,0.5906,-0.1906,NO BET,LOW RISK,0.4,0.0,No bet suggested.,NO_BET
2026-06-25,FIFA World Cup,Japan vs Sweden,Japan,2.09,0.4785,0.4542,-0.0243,NO BET,MEDIUM RISK,0.3999,0.0,No bet suggested.,NO_BET
2026-06-25,FIFA World Cup,Ecuador vs Germany,Germany,1.72,0.5814,0.4888,-0.0926,NO BET,LOW RISK,0.3962,0.0,No bet suggested.,NO_BET
2026-06-23,FIFA World Cup,Portugal vs Uzbekistan,Portugal,1.24,0.8065,0.5976,-0.2088,NO BET,LOW RISK,0.3888,0.0,No bet suggested.,NO_BET
