match_id,date,stage,team_a,team_b,selection,decimal_odds,implied_probability,model_probability,value_gap,kelly_stake_pct,signal,risk_label,confidence_score,quality_label
33,2026-06-20,FIFA World Cup,Netherlands,Sweden,Draw,3.97,0.2519,0.2475,-0.0044,0.0,NO BET,HIGH RISK,0.1831,NO_BET
56,2026-06-25,FIFA World Cup,Ecuador,Germany,Draw,3.81,0.2625,0.2525,-0.01,0.0,NO BET,HIGH RISK,0.1825,NO_BET
30,2026-06-19,FIFA World Cup,Scotland,Morocco,Scotland,4.06,0.2463,0.2443,-0.002,0.0,NO BET,HIGH RISK,0.1824,NO_BET
67,2026-06-27,FIFA World Cup,Croatia,Ghana,Draw,3.77,0.2653,0.2538,-0.0115,0.0,NO BET,HIGH RISK,0.1822,NO_BET
47,2026-06-23,FIFA World Cup,Panama,Croatia,Panama,6.53,0.1531,0.2168,0.0637,0.0188,NO BET,VERY HIGH RISK,0.1805,NO_BET
43,2026-06-23,FIFA World Cup,Norway,Senegal,Norway,2.11,0.4739,0.3419,-0.132,0.0,NO BET,MEDIUM RISK,0.1799,NO_BET
52,2026-06-24,FIFA World Cup,Morocco,Haiti,Draw,5.14,0.1946,0.2362,0.0417,0.0129,NO BET,VERY HIGH RISK,0.1779,NO_BET
15,2026-06-15,FIFA World Cup,Saudi Arabia,Uruguay,Saudi Arabia,7.68,0.1302,0.2037,0.0735,0.0211,NO BET,VERY HIGH RISK,0.1772,NO_BET
10,2026-06-14,FIFA World Cup,Netherlands,Japan,Draw,3.52,0.2841,0.26,-0.0241,0.0,NO BET,HIGH RISK,0.1759,NO_BET
41,2026-06-22,FIFA World Cup,Argentina,Austria,Austria,5.36,0.1866,0.2304,0.0438,0.0135,NO BET,VERY HIGH RISK,0.1742,NO_BET
47,2026-06-23,FIFA World Cup,Panama,Croatia,Draw,3.91,0.2558,0.245,-0.0108,0.0,NO BET,HIGH RISK,0.1742,NO_BET
41,2026-06-22,FIFA World Cup,Argentina,Austria,Draw,3.82,0.2618,0.2475,-0.0143,0.0,NO BET,HIGH RISK,0.1732,NO_BET
28,2026-06-19,FIFA World Cup,Mexico,South Korea,Draw,3.48,0.2874,0.26,-0.0274,0.0,NO BET,HIGH RISK,0.1726,NO_BET
59,2026-06-26,FIFA World Cup,Paraguay,Australia,Draw,3.24,0.3086,0.27,-0.0386,0.0,NO BET,HIGH RISK,0.1714,NO_BET
40,2026-06-22,FIFA World Cup,New Zealand,Egypt,Draw,3.68,0.2717,0.2512,-0.0205,0.0,NO BET,HIGH RISK,0.1708,NO_BET
60,2026-06-26,FIFA World Cup,Turkey,USA,Draw,3.47,0.2882,0.2588,-0.0294,0.0,NO BET,HIGH RISK,0.1693,NO_BET
4,2026-06-13,FIFA World Cup,USA,Paraguay,Draw,3.38,0.2959,0.2625,-0.0334,0.0,NO BET,HIGH RISK,0.1691,NO_BET
23,2026-06-17,FIFA World Cup,Ghana,Panama,Draw,3.4,0.2941,0.2612,-0.0329,0.0,NO BET,HIGH RISK,0.1684,NO_BET
12,2026-06-15,FIFA World Cup,Sweden,Tunisia,Draw,3.37,0.2967,0.2625,-0.0342,0.0,NO BET,HIGH RISK,0.1683,NO_BET
70,2026-06-27,FIFA World Cup,DR Congo,Uzbekistan,Draw,3.26,0.3067,0.2675,-0.0392,0.0,NO BET,HIGH RISK,0.1683,NO_BET
21,2026-06-17,FIFA World Cup,Portugal,DR Congo,DR Congo,10.96,0.0912,0.179,0.0877,0.0241,NO BET,VERY HIGH RISK,0.1667,NO_BET
63,2026-06-27,FIFA World Cup,Cape Verde,Saudi Arabia,Draw,3.32,0.3012,0.2637,-0.0375,0.0,NO BET,HIGH RISK,0.1663,NO_BET
33,2026-06-20,FIFA World Cup,Netherlands,Sweden,Sweden,5.09,0.1965,0.2304,0.0339,0.0106,NO BET,VERY HIGH RISK,0.1643,NO_BET
50,2026-06-24,FIFA World Cup,Switzerland,Canada,Draw,3.32,0.3012,0.2625,-0.0387,0.0,NO BET,HIGH RISK,0.1638,NO_BET
57,2026-06-25,FIFA World Cup,Japan,Sweden,Draw,3.42,0.2924,0.2575,-0.0349,0.0,NO BET,HIGH RISK,0.1626,NO_BET
69,2026-06-27,FIFA World Cup,Colombia,Portugal,Draw,3.33,0.3003,0.26,-0.0403,0.0,NO BET,HIGH RISK,0.1597,NO_BET
60,2026-06-26,FIFA World Cup,Turkey,USA,Turkey,2.68,0.3731,0.2959,-0.0773,0.0,NO BET,HIGH RISK,0.1586,NO_BET
36,2026-06-21,FIFA World Cup,Tunisia,Japan,Draw,3.54,0.2825,0.25,-0.0325,0.0,NO BET,HIGH RISK,0.1575,NO_BET
32,2026-06-20,FIFA World Cup,Turkey,Paraguay,Draw,3.17,0.3155,0.2662,-0.0492,0.0,NO BET,HIGH RISK,0.157,NO_BET
54,2026-06-25,FIFA World Cup,South Africa,South Korea,Draw,3.38,0.2959,0.2562,-0.0396,0.0,NO BET,HIGH RISK,0.1566,NO_BET
61,2026-06-26,FIFA World Cup,Norway,France,Draw,3.65,0.274,0.2437,-0.0302,0.0,NO BET,HIGH RISK,0.1535,NO_BET
2,2026-06-12,FIFA World Cup,South Korea,Czech Republic,Draw,3.11,0.3215,0.2662,-0.0553,0.0,NO BET,HIGH RISK,0.151,NO_BET
16,2026-06-16,FIFA World Cup,Iran,New Zealand,Draw,3.39,0.295,0.2525,-0.0425,0.0,NO BET,HIGH RISK,0.15,NO_BET
66,2026-06-27,FIFA World Cup,Egypt,Iran,Draw,3.05,0.3279,0.2687,-0.0591,0.0,NO BET,HIGH RISK,0.1496,NO_BET
71,2026-06-28,FIFA World Cup,Algeria,Austria,Draw,3.19,0.3135,0.26,-0.0535,0.0,NO BET,HIGH RISK,0.1465,NO_BET
25,2026-06-18,FIFA World Cup,Czech Republic,South Africa,Draw,3.34,0.2994,0.2525,-0.0469,0.0,NO BET,HIGH RISK,0.1456,NO_BET
13,2026-06-15,FIFA World Cup,Spain,Cape Verde,Cape Verde,27.86,0.0359,0.1407,0.1048,0.0272,NO BET,VERY HIGH RISK,0.1455,NO_BET
27,2026-06-18,FIFA World Cup,Canada,Qatar,Canada,1.31,0.7634,0.4542,-0.3092,0.0,NO BET,LOW RISK,0.145,NO_BET
65,2026-06-27,FIFA World Cup,New Zealand,Belgium,New Zealand,9.85,0.1015,0.1731,0.0716,0.0199,NO BET,VERY HIGH RISK,0.1447,NO_BET
45,2026-06-23,FIFA World Cup,Portugal,Uzbekistan,Uzbekistan,11.02,0.0907,0.1674,0.0766,0.0211,NO BET,VERY HIGH RISK,0.144,NO_BET
52,2026-06-24,FIFA World Cup,Morocco,Haiti,Haiti,9.63,0.1038,0.1731,0.0693,0.0193,NO BET,VERY HIGH RISK,0.1424,NO_BET
19,2026-06-17,FIFA World Cup,Argentina,Algeria,Algeria,8.58,0.1166,0.179,0.0624,0.0177,NO BET,VERY HIGH RISK,0.1414,NO_BET
42,2026-06-22,FIFA World Cup,France,Iraq,Iraq,23.11,0.0433,0.1407,0.0974,0.0255,NO BET,VERY HIGH RISK,0.1381,NO_BET
30,2026-06-19,FIFA World Cup,Scotland,Morocco,Draw,3.28,0.3049,0.25,-0.0549,0.0,NO BET,HIGH RISK,0.1351,NO_BET
61,2026-06-26,FIFA World Cup,Norway,France,Norway,4.37,0.2288,0.2102,-0.0186,0.0,NO BET,HIGH RISK,0.1316,NO_BET
58,2026-06-25,FIFA World Cup,Tunisia,Netherlands,Tunisia,6.54,0.1529,0.1911,0.0382,0.0113,NO BET,VERY HIGH RISK,0.1293,NO_BET
9,2026-06-14,FIFA World Cup,Germany,Curaçao,Curaçao,41.6,0.024,0.1263,0.1023,0.0262,NO BET,VERY HIGH RISK,0.1286,NO_BET
49,2026-06-24,FIFA World Cup,Bosnia & Herzegovina,Qatar,Bosnia & Herzegovina,1.55,0.6452,0.4008,-0.2443,0.0,NO BET,MEDIUM RISK,0.1265,NO_BET
68,2026-06-27,FIFA World Cup,Panama,England,Panama,9.18,0.1089,0.1674,0.0584,0.0164,NO BET,VERY HIGH RISK,0.1258,NO_BET
11,2026-06-14,FIFA World Cup,Ivory Coast,Ecuador,Draw,2.82,0.3546,0.2662,-0.0884,0.0,NO BET,HIGH RISK,0.1179,NO_BET
31,2026-06-20,FIFA World Cup,Brazil,Haiti,Haiti,27.42,0.0365,0.1263,0.0898,0.0233,NO BET,VERY HIGH RISK,0.1161,NO_BET
51,2026-06-24,FIFA World Cup,Scotland,Brazil,Scotland,6.44,0.1553,0.185,0.0297,0.0088,NO BET,VERY HIGH RISK,0.1147,NO_BET
39,2026-06-21,FIFA World Cup,Uruguay,Cape Verde,Cape Verde,7.44,0.1344,0.1731,0.0387,0.0112,NO BET,VERY HIGH RISK,0.1118,NO_BET
18,2026-06-16,FIFA World Cup,Iraq,Norway,Norway,1.2,0.8333,0.4716,-0.3617,0.0,NO BET,LOW RISK,0.11,NO_BET
8,2026-06-14,FIFA World Cup,Australia,Turkey,Turkey,1.7,0.5882,0.3419,-0.2463,0.0,NO BET,MEDIUM RISK,0.0656,NO_BET
72,2026-06-28,FIFA World Cup,Jordan,Argentina,Jordan,14.08,0.071,0.1174,0.0463,0.0125,NO BET,VERY HIGH RISK,0.0637,NO_BET
