match_id,date,stage,team_a,team_b,selection,decimal_odds,implied_probability,model_probability,value_gap,kelly_stake_pct,signal,risk_label,confidence_score,quality_label
47,2026-06-23,FIFA World Cup,Panama,Croatia,Croatia,1.54,0.6494,0.5382,-0.1112,0.0,NO BET,LOW RISK,0.427,NO_BET
36,2026-06-21,FIFA World Cup,Tunisia,Japan,Japan,1.71,0.5848,0.5057,-0.0791,0.0,NO BET,LOW RISK,0.4265,NO_BET
63,2026-06-27,FIFA World Cup,Cape Verde,Saudi Arabia,Saudi Arabia,2.75,0.3636,0.4098,0.0461,0.0181,NO BET,MEDIUM RISK,0.4259,NO_BET
54,2026-06-25,FIFA World Cup,South Africa,South Korea,South Korea,1.99,0.5025,0.463,-0.0396,0.0,NO BET,LOW RISK,0.4234,NO_BET
68,2026-06-27,FIFA World Cup,Panama,England,England,1.29,0.7752,0.5976,-0.1776,0.0,NO BET,LOW RISK,0.4201,NO_BET
40,2026-06-22,FIFA World Cup,New Zealand,Egypt,Egypt,1.73,0.578,0.4973,-0.0808,0.0,NO BET,LOW RISK,0.4165,NO_BET
15,2026-06-15,FIFA World Cup,Saudi Arabia,Uruguay,Uruguay,1.43,0.6993,0.5538,-0.1455,0.0,NO BET,LOW RISK,0.4083,NO_BET
2,2026-06-12,FIFA World Cup,South Korea,Czech Republic,Czech Republic,2.84,0.3521,0.3919,0.0397,0.0153,NO BET,MEDIUM RISK,0.4016,NO_BET
65,2026-06-27,FIFA World Cup,New Zealand,Belgium,Belgium,1.28,0.7812,0.5906,-0.1906,0.0,NO BET,LOW RISK,0.4,NO_BET
57,2026-06-25,FIFA World Cup,Japan,Sweden,Japan,2.09,0.4785,0.4542,-0.0243,0.0,NO BET,MEDIUM RISK,0.3999,NO_BET
56,2026-06-25,FIFA World Cup,Ecuador,Germany,Germany,1.72,0.5814,0.4888,-0.0926,0.0,NO BET,LOW RISK,0.3962,NO_BET
45,2026-06-23,FIFA World Cup,Portugal,Uzbekistan,Portugal,1.24,0.8065,0.5976,-0.2088,0.0,NO BET,LOW RISK,0.3888,NO_BET
34,2026-06-20,FIFA World Cup,Germany,Ivory Coast,Germany,1.55,0.6452,0.5139,-0.1312,0.0,NO BET,LOW RISK,0.3827,NO_BET
71,2026-06-28,FIFA World Cup,Algeria,Austria,Austria,2.16,0.463,0.4365,-0.0264,0.0,NO BET,MEDIUM RISK,0.3801,NO_BET
21,2026-06-17,FIFA World Cup,Portugal,DR Congo,Portugal,1.27,0.7874,0.5835,-0.2039,0.0,NO BET,LOW RISK,0.3796,NO_BET
27,2026-06-18,FIFA World Cup,Canada,Qatar,Qatar,10.07,0.0993,0.2883,0.189,0.0525,NO BET,VERY HIGH RISK,0.3773,NO_BET
69,2026-06-27,FIFA World Cup,Colombia,Portugal,Portugal,2.14,0.4673,0.4365,-0.0307,0.0,NO BET,MEDIUM RISK,0.3758,NO_BET
18,2026-06-16,FIFA World Cup,Iraq,Norway,Iraq,13.5,0.0741,0.2734,0.1993,0.0538,NO BET,VERY HIGH RISK,0.3726,NO_BET
42,2026-06-22,FIFA World Cup,France,Iraq,France,1.12,0.8929,0.6306,-0.2623,0.0,NO BET,LOW RISK,0.3683,NO_BET
31,2026-06-20,FIFA World Cup,Brazil,Haiti,Brazil,1.07,0.9346,0.6487,-0.2859,0.0,NO BET,LOW RISK,0.3628,NO_BET
24,2026-06-18,FIFA World Cup,Uzbekistan,Colombia,Colombia,1.4,0.7143,0.5382,-0.1761,0.0,NO BET,LOW RISK,0.3621,NO_BET
17,2026-06-16,FIFA World Cup,France,Senegal,France,1.46,0.6849,0.5221,-0.1628,0.0,NO BET,LOW RISK,0.3593,NO_BET
48,2026-06-24,FIFA World Cup,Colombia,DR Congo,Colombia,1.46,0.6849,0.5221,-0.1628,0.0,NO BET,LOW RISK,0.3593,NO_BET
67,2026-06-27,FIFA World Cup,Croatia,Ghana,Croatia,1.66,0.6024,0.4803,-0.1221,0.0,NO BET,LOW RISK,0.3581,NO_BET
70,2026-06-27,FIFA World Cup,DR Congo,Uzbekistan,Uzbekistan,3.16,0.3165,0.3496,0.0332,0.0121,NO BET,MEDIUM RISK,0.3528,NO_BET
1,2026-06-11,FIFA World Cup,Mexico,South Africa,Mexico,1.4,0.7143,0.5302,-0.1841,0.0,NO BET,LOW RISK,0.3461,NO_BET
10,2026-06-14,FIFA World Cup,Netherlands,Japan,Netherlands,2.01,0.4975,0.4365,-0.061,0.0,NO BET,MEDIUM RISK,0.3456,NO_BET
23,2026-06-17,FIFA World Cup,Ghana,Panama,Ghana,2.06,0.4854,0.4276,-0.0578,0.0,NO BET,MEDIUM RISK,0.3399,NO_BET
11,2026-06-14,FIFA World Cup,Ivory Coast,Ecuador,Ecuador,2.41,0.4149,0.3919,-0.0231,0.0,NO BET,MEDIUM RISK,0.3388,NO_BET
14,2026-06-15,FIFA World Cup,Belgium,Egypt,Belgium,1.65,0.6061,0.4716,-0.1344,0.0,NO BET,LOW RISK,0.3372,NO_BET
9,2026-06-14,FIFA World Cup,Germany,Curaçao,Germany,1.04,0.9615,0.6487,-0.3128,0.0,NO BET,LOW RISK,0.3359,NO_BET
13,2026-06-15,FIFA World Cup,Spain,Cape Verde,Spain,1.08,0.9259,0.6306,-0.2954,0.0,NO BET,LOW RISK,0.3352,NO_BET
