event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,selection,decimal_odds
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,fanduel,FanDuel,2026-06-10T03:15:25Z,h2h,2026-06-10T03:15:25Z,South Korea,2.65
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,fanduel,FanDuel,2026-06-10T03:15:25Z,h2h,2026-06-10T03:15:25Z,Draw,3.1
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,betmgm,BetMGM,2026-06-10T03:16:40Z,h2h,2026-06-10T03:16:40Z,Czech Republic,2.75
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,betmgm,BetMGM,2026-06-10T03:16:40Z,h2h,2026-06-10T03:16:40Z,South Korea,2.65
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,betmgm,BetMGM,2026-06-10T03:16:40Z,h2h,2026-06-10T03:16:40Z,Draw,3.1
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,betonlineag,BetOnline.ag,2026-06-10T03:16:21Z,h2h,2026-06-10T03:16:21Z,Czech Republic,2.92
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,betonlineag,BetOnline.ag,2026-06-10T03:16:21Z,h2h,2026-06-10T03:16:21Z,South Korea,2.67
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,betonlineag,BetOnline.ag,2026-06-10T03:16:21Z,h2h,2026-06-10T03:16:21Z,Draw,3.14
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,bovada,Bovada,2026-06-10T03:15:47Z,h2h,2026-06-10T03:15:47Z,Czech Republic,2.85
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,bovada,Bovada,2026-06-10T03:15:47Z,h2h,2026-06-10T03:15:47Z,South Korea,2.65
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,bovada,Bovada,2026-06-10T03:15:47Z,h2h,2026-06-10T03:15:47Z,Draw,3.15
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,mybookieag,MyBookie.ag,2026-06-10T03:16:04Z,h2h,2026-06-10T03:16:04Z,Czech Republic,2.79
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,mybookieag,MyBookie.ag,2026-06-10T03:16:04Z,h2h,2026-06-10T03:16:04Z,South Korea,2.53
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,mybookieag,MyBookie.ag,2026-06-10T03:16:04Z,h2h,2026-06-10T03:16:04Z,Draw,3.06
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,draftkings,DraftKings,2026-06-10T03:16:39Z,h2h,2026-06-10T03:16:38Z,Czech Republic,2.9
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,draftkings,DraftKings,2026-06-10T03:16:39Z,h2h,2026-06-10T03:16:38Z,South Korea,2.65
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,draftkings,DraftKings,2026-06-10T03:16:39Z,h2h,2026-06-10T03:16:38Z,Draw,3.15
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,betrivers,BetRivers,2026-06-10T03:16:41Z,h2h,2026-06-10T03:16:40Z,Czech Republic,2.8
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,betrivers,BetRivers,2026-06-10T03:16:41Z,h2h,2026-06-10T03:16:40Z,South Korea,2.65
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T02:00:00Z,South Korea,Czech Republic,betrivers,BetRivers,2026-06-10T03:16:41Z,h2h,2026-06-10T03:16:40Z,Draw,3.1
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,fanduel,FanDuel,2026-06-10T03:15:25Z,h2h,2026-06-10T03:15:25Z,Bosnia & Herzegovina,4.6
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,fanduel,FanDuel,2026-06-10T03:15:25Z,h2h,2026-06-10T03:15:25Z,Canada,1.8
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,fanduel,FanDuel,2026-06-10T03:15:25Z,h2h,2026-06-10T03:15:25Z,Draw,3.5
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betmgm,BetMGM,2026-06-10T03:16:40Z,h2h,2026-06-10T03:16:40Z,Bosnia & Herzegovina,4.4
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betmgm,BetMGM,2026-06-10T03:16:40Z,h2h,2026-06-10T03:16:40Z,Canada,1.83
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betmgm,BetMGM,2026-06-10T03:16:40Z,h2h,2026-06-10T03:16:40Z,Draw,3.5
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betonlineag,BetOnline.ag,2026-06-10T03:16:21Z,h2h,2026-06-10T03:16:21Z,Bosnia & Herzegovina,4.84
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betonlineag,BetOnline.ag,2026-06-10T03:16:21Z,h2h,2026-06-10T03:16:21Z,Canada,1.81
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betonlineag,BetOnline.ag,2026-06-10T03:16:21Z,h2h,2026-06-10T03:16:21Z,Draw,3.65
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,bovada,Bovada,2026-06-10T03:15:47Z,h2h,2026-06-10T03:15:47Z,Bosnia & Herzegovina,4.5
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,bovada,Bovada,2026-06-10T03:15:47Z,h2h,2026-06-10T03:15:47Z,Canada,1.82
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,bovada,Bovada,2026-06-10T03:15:47Z,h2h,2026-06-10T03:15:47Z,Draw,3.65
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,mybookieag,MyBookie.ag,2026-06-10T03:16:04Z,h2h,2026-06-10T03:16:04Z,Bosnia & Herzegovina,4.3
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,mybookieag,MyBookie.ag,2026-06-10T03:16:04Z,h2h,2026-06-10T03:16:04Z,Canada,1.8
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,mybookieag,MyBookie.ag,2026-06-10T03:16:04Z,h2h,2026-06-10T03:16:04Z,Draw,3.44
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,draftkings,DraftKings,2026-06-10T03:16:39Z,h2h,2026-06-10T03:16:38Z,Bosnia & Herzegovina,4.6
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,draftkings,DraftKings,2026-06-10T03:16:39Z,h2h,2026-06-10T03:16:38Z,Canada,1.8
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,draftkings,DraftKings,2026-06-10T03:16:39Z,h2h,2026-06-10T03:16:38Z,Draw,3.7
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betrivers,BetRivers,2026-06-10T03:16:41Z,h2h,2026-06-10T03:16:40Z,Bosnia & Herzegovina,4.6
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betrivers,BetRivers,2026-06-10T03:16:41Z,h2h,2026-06-10T03:16:40Z,Canada,1.81
d1f4f946c70a0b4e81f5d43e9d32361c,soccer_fifa_world_cup,FIFA World Cup,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,betrivers,BetRivers,2026-06-10T03:16:41Z,h2h,2026-06-10T03:16:40Z,Draw,3.6
c12986f447a515fbe641addd786dbb24,soccer_fifa_world_cup,FIFA World Cup,2026-06-13T01:00:00Z,USA,Paraguay,betmgm,BetMGM,2026-06-10T03:16:40Z,h2h,2026-06-10T03:16:40Z,Paraguay,3.8
c12986f447a515fbe641addd786dbb24,soccer_fifa_world_cup,FIFA World Cup,2026-06-13T01:00:00Z,USA,Paraguay,betmgm,BetMGM,2026-06-10T03:16:40Z,h2h,2026-06-10T03:16:40Z,USA,1.98
